site,habitat,replicate,taxa,class,order,family,genus,code,count
bosque,riffle,1,Macrothemis,Insecta,Odonata,Libellulidae,Macrothemis,MACROT,4
bosque,riffle,2,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,15
bosque,riffle,2,Tabanus,Insecta,Diptera,Tabanidae,Tabanus,TABANU,2
bosque,riffle,2,Baetis,Insecta,Ephemeroptera,Baetidae,Baetis,BAETIS,1
bosque,riffle,2,Fallceon,Insecta,Ephemeroptera,Baetidae,Fallceon,FALLCE,2
bosque,riffle,2,Isonychia,Insecta,Ephemeroptera,Isonychiidae,Isonychia,ISONYC,2
bosque,riffle,2,Tricorythodes,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,TRICOR,2
bosque,riffle,2,Thraulodes,Insecta,Ephemeroptera,Leptophlebiidae,Thraulodes,THRAUL,1
bosque,riffle,2,Traverella,Insecta,Ephemeroptera,Leptophlebiidae,Traverella,TRAVER,1
bosque,riffle,2,Gerris,Insecta,Hemiptera,Gerridae,Gerris,GERRIS,1
bosque,riffle,2,Ambrysus,Insecta,Hemiptera,Nacouridae,Ambrysus,AMBRYS,3
bosque,riffle,2,Corydalus,Insecta,Megaloptera,Corydalidae,Corydalus,CORYDA,9
bosque,riffle,2,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,2
bosque,riffle,2,Gomphus,Insecta,Odonata,Gomphidae,Gomphus,GOMPHU,1
bosque,riffle,2,Macrothemis,Insecta,Odonata,Libellulidae,Macrothemis,MACROT,1
bosque,riffle,2,Chimarra,Insecta,Trichoptera,Philopotamidae,Chimarra,CHIMAR,1
bosque,riffle,3,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,8
bosque,riffle,3,Tabanus,Insecta,Diptera,Tabanidae,Tabanus,TABANU,2
bosque,riffle,3,Isonychia,Insecta,Ephemeroptera,Isonychiidae,Isonychia,ISONYC,1
bosque,riffle,3,Tricorythodes,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,TRICOR,2
bosque,riffle,3,Leptohyphes,Insecta,Ephemeroptera,Leptophlebiidae,Leptohyphes,LEPTOH,2
bosque,riffle,3,Traverella,Insecta,Ephemeroptera,Leptophlebiidae,Traverella,TRAVER,1
bosque,riffle,3,Ambrysus,Insecta,Hemiptera,Nacouridae,Ambrysus,AMBRYS,2
bosque,riffle,3,Corydalus,Insecta,Megaloptera,Corydalidae,Corydalus,CORYDA,4
bosque,riffle,3,Hydropsyche,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,HYDROP,6
bosque,riffle,3,Chimarra,Insecta,Trichoptera,Philopotamidae,Chimarra,CHIMAR,2
bosque,riffle,4,Chironomidae,Insecta,Diptera,Chironomidae,,CHIRON,2
bosque,riffle,4,Tabanus,Insecta,Diptera,Tabanidae,Tabanus,TABANU,3
bosque,riffle,4,Isonychia,Insecta,Ephemeroptera,Isonychiidae,Isonychia,ISONYC,7
bosque,riffle,4,Thraulodes,Insecta,Ephemeroptera,Leptophlebiidae,Thraulodes,THRAUL,2
bosque,riffle,4,Traverella,Insecta,Ephemeroptera,Leptophlebiidae,Traverella,TRAVER,8
bosque,riffle,4,Ambrysus,Insecta,Hemiptera,Nacouridae,Ambrysus,AMBRYS,3
bosque,riffle,4,Corydalus,Insecta,Megaloptera,Corydalidae,Corydalus,CORYDA,7
bosque,riffle,4,Hetaerina,Insecta,Odonata,Calopterygidae,Hetaerina,HETAER,1
bosque,riffle,4,Argia,Insecta,Odonata,Coenagrionidae,Argia,ARGIA,1
